Order APIs	GET		E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 12 - Get Refund For Order
Return APIs	POST	{{baseUrl}}/returns	E2E SCENARIOS > 03 - Return Flow (Post-Delivery)	Step 01 - Request Return (Retailer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/approve	E2E SCENARIOS > 03 - Return Flow (Post-Delivery)	Step 02 - Approve Return (Manufacturer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/receive	E2E SCENARIOS > 03 - Return Flow (Post-Delivery)	Step 03 - Receive Return (Manufacturer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/inspect	E2E SCENARIOS > 03 - Return Flow (Post-Delivery)	Step 04 - Inspect Return (Manufacturer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/complete	E2E SCENARIOS > 03 - Return Flow (Post-Delivery)	Step 05 - Complete Return (Manufacturer)
Return APIs	GET	{{baseUrl}}/returns/{{returnId}}	E2E SCENARIOS > 03 - Return Flow (Post-Delivery)	Step 06 - Get Return By Id (Retailer)
Return APIs	GET		E2E SCENARIOS > 03 - Return Flow (Post-Delivery)	Step 07 - Get Refund For Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 01 - Place Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 02 - Create Razorpay Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 03 - Verify Razorpay Payment
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 04 - Cancel Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 05 - Approve Refund
Refund APIs	GET		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 06 - Get Refund For Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 07 - Place Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 08 - Create Razorpay Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 09 - Verify Razorpay Payment
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 10 - Cancel Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 11 - Reject Refund
Refund APIs	GET		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 12 - Get Refund For Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 13 - Place Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 14 - Create Razorpay Order
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 15 - Verify Razorpay Payment
Refund APIs	POST		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 16 - Reject Order (Manufacturer)
Refund APIs	GET		E2E SCENARIOS > 04 - Cancellation & Refund Branches	Step 17 - Get Refund For Order
Admin APIs	POST	{{baseUrl}}/cart/reserve	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 01 - Reserve Cart Item
Admin APIs	GET	{{baseUrl}}/cart/reservations	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 02 - Get Active Reservations
Admin APIs	DELETE	{{baseUrl}}/cart/reserve/{{reservationId}}	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 03 - Cancel Reservation
Admin APIs	POST	{{baseUrl}}/inventory/batches	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 04 - Create Inventory Batch
Admin APIs	GET	{{baseUrl}}/inventory/batches?productId={{productId}}	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 05 - List Inventory Batches
Admin APIs	GET	{{baseUrl}}/inventory/batches/{{batchId}}	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 06 - Get Inventory Batch By Id
Admin APIs	PATCH	{{baseUrl}}/inventory/batches/{{batchId}}	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 07 - Update Inventory Batch
Admin APIs	GET	{{baseUrl}}/inventory/low-stock?page=0&size=20	E2E SCENARIOS > 05 - Inventory Reservation & Batch Operations	Step 08 - Get Low Stock (Catalog Manager)
Auth APIs	POST		AUTH	Step 1 - Login SUPER_ADMIN
Auth APIs	POST		AUTH	Step 3 - Login ADMIN
Auth APIs	POST		AUTH	Step 5 - Register MANUFACTURER
Auth APIs	POST		AUTH	Step 6 - Register RETAILER
Auth APIs	POST		AUTH	Step 7 - Login CATALOG_MANAGER
Auth APIs	POST		AUTH	Login MANUFACTURER
Auth APIs	POST		AUTH	Login RETAILER
Admin APIs	POST		ADMIN USER MANAGEMENT	Step 2 - Create ADMIN
Admin APIs	POST		ADMIN USER MANAGEMENT	Step 4 - Create CATALOG_MANAGER
Admin APIs	GET		USER APPROVAL	Step 8 - Get Pending Users
Admin APIs	PATCH		USER APPROVAL	Step 9 - Approve MANUFACTURER
Admin APIs	PATCH		USER APPROVAL	Step 9 - Approve RETAILER
Admin APIs	PATCH		USER APPROVAL	Reject User
Admin APIs	PATCH		USER APPROVAL	Deactivate User
Admin APIs	PATCH		USER APPROVAL	Activate User
Category APIs	POST		CATEGORY MANAGEMENT	Bulk Create Categories
Category APIs	GET		CATEGORY MANAGEMENT	List Categories
Category APIs	GET		CATEGORY MANAGEMENT	Get Category Tree
Category APIs	GET		CATEGORY MANAGEMENT	Get Category By Id
Category APIs	PUT		CATEGORY MANAGEMENT	Update Category
Category APIs	PATCH		CATEGORY MANAGEMENT	Deactivate Category
Brand APIs	POST		BRAND MANAGEMENT	Bulk Create Brands
Brand APIs	GET		BRAND MANAGEMENT	List Brands
Brand APIs	GET		BRAND MANAGEMENT	Get Brand By Id
Brand APIs	PUT		BRAND MANAGEMENT	Update Brand
Brand APIs	PATCH		BRAND MANAGEMENT	Deactivate Brand
Product APIs	POST		PRODUCT MANAGEMENT	Create Product
Product APIs	POST		PRODUCT MANAGEMENT	Create Product (Legacy Brand Fallback)
Product APIs	POST		PRODUCT MANAGEMENT	Bulk Create Products
Product APIs	GET		PRODUCT MANAGEMENT	Get Products
Product APIs	GET		PRODUCT MANAGEMENT	Get Products (Retailer)
Product APIs	GET		PRODUCT MANAGEMENT	Get Products (Manufacturer)
Product APIs	GET		PRODUCT MANAGEMENT	Get Product Facets
Product APIs	GET		PRODUCT MANAGEMENT	Get Product Facets (Retailer)
Product APIs	GET		PRODUCT MANAGEMENT	Get Product Facets (Manufacturer)
Product APIs	GET		PRODUCT MANAGEMENT	Get Product By Id
Product APIs	GET		PRODUCT MANAGEMENT	Get Product By Id (Retailer)
Product APIs	GET		PRODUCT MANAGEMENT	Get Product By Id (Manufacturer)
Product APIs	PUT		PRODUCT MANAGEMENT	Update Product
Product APIs	PATCH		PRODUCT MANAGEMENT	Deactivate Product
Address APIs	POST		ADDRESS MANAGEMENT	Create Address
Address APIs	GET		ADDRESS MANAGEMENT	Get Addresses
Address APIs	PATCH		ADDRESS MANAGEMENT	Patch Address
Address APIs	PUT		ADDRESS MANAGEMENT	Set Default Address
Address APIs	DELETE		ADDRESS MANAGEMENT	Delete Address
Order APIs	POST		ORDER MANAGEMENT	Place Order
Order APIs	GET		ORDER MANAGEMENT	Get Order Summary
Order APIs	GET		ORDER MANAGEMENT	Get Order Summary (Retailer)
Order APIs	GET		ORDER MANAGEMENT	Get Order Summary (Manufacturer)
Order APIs	GET		ORDER MANAGEMENT	Get Orders
Order APIs	GET		ORDER MANAGEMENT	Get Orders (Retailer)
